,YearMonth,PostalCode,CustomerClass,TotalGallons
305,2012-02-01,78732,Commercial,721700
306,2012-02-01,78735,Irrigation - Commercial,2426900
307,2012-02-01,78735,Large Volume,16374000
308,2012-02-01,78735,Austin Water Utility,0
309,2012-02-01,78735,Commercial,7251100
310,2012-02-01,78735,City of Austin,257000
311,2012-02-01,78735,Wholesale,382900
312,2012-02-01,78736,Irrigation - Commercial,197400
313,2012-02-01,78736,Commercial,1220300
314,2012-02-01,78737,Commercial,278100
315,2012-02-01,78737,Wholesale,413000
316,2012-02-01,78737,Irrigation - Commercial,136000
317,2012-02-01,78739,City of Austin,10800
318,2012-02-01,78739,Wholesale,9507000
319,2012-02-01,78739,Irrigation - Commercial,2166800
320,2012-02-01,78739,Irrigation - City of Austin,0
321,2012-02-01,78739,Austin Water Utility,0
322,2012-02-01,78739,Commercial,1836400
323,2012-02-01,78741,Irrigation - Commercial,2148100
324,2012-02-01,78741,Large Volume,35668700
325,2012-02-01,78741,Austin Water Utility,0
326,2012-02-01,78741,City of Austin,215800
327,2012-02-01,78741,Irrigation - City of Austin,1297800
328,2012-02-01,78741,Commercial,15643200
329,2012-02-01,78742,Commercial,381200
330,2012-02-01,78742,Irrigation - Commercial,29100
331,2012-02-01,78744,Commercial,22510800
332,2012-02-01,78744,Irrigation - Commercial,2394400
333,2012-02-01,78744,Austin Water Utility,692900
334,2012-02-01,78744,City of Austin,839700
335,2012-02-01,78744,Irrigation - City of Austin,785500
336,2012-02-01,78744,Wholesale,1709000
337,2012-02-01,78745,Wholesale,3810800
338,2012-02-01,78745,Commercial,26616200
339,2012-02-01,78745,Irrigation - City of Austin,0
340,2012-02-01,78745,City of Austin,144900
341,2012-02-01,78745,Irrigation - Commercial,2755400
342,2012-02-01,78746,City of Austin,1136900
343,2012-02-01,78746,Commercial,9368600
344,2012-02-01,78746,Irrigation - City of Austin,358800
345,2012-02-01,78746,Irrigation - Commercial,1351000
346,2012-02-01,78746,Wholesale,63872800
347,2012-02-01,78747,Austin Water Utility,1215500
348,2012-02-01,78747,Wholesale,2257600
349,2012-02-01,78747,Commercial,926400
350,2012-02-01,78747,Irrigation - Commercial,655600
351,2012-02-01,78748,Commercial,10010700
352,2012-02-01,78748,Irrigation - City of Austin,25900
353,2012-02-01,78748,Irrigation - Commercial,2774800
354,2012-02-01,78748,City of Austin,128100
355,2012-02-01,78748,Wholesale,487000
356,2012-02-01,78749,Commercial,8868400
357,2012-02-01,78749,Irrigation - Commercial,4114300
358,2012-02-01,78749,City of Austin,33700
359,2012-02-01,78749,Irrigation - City of Austin,27400
360,2012-02-01,78749,Wholesale,1919000
361,2012-02-01,78750,Irrigation - Commercial,3161200
362,2012-02-01,78750,Commercial,7155300
363,2012-02-01,78750,Irrigation - City of Austin,70000
364,2012-02-01,78750,Austin Water Utility,11800
365,2012-02-01,78750,City of Austin,125800
366,2012-02-01,78751,Irrigation - City of Austin,367000
367,2012-02-01,78751,Irrigation - Commercial,375400
368,2012-02-01,78751,Commercial,13126700
369,2012-02-01,78751,City of Austin,52900
370,2012-02-01,78752,Irrigation - City of Austin,0
371,2012-02-01,78752,Irrigation - Commercial,1627600
372,2012-02-01,78752,City of Austin,98500
