,YearMonth,PostalCode,CustomerClass,TotalGallons
1856,2012-12-01,78758,Multi-Family,46924300
1857,2012-12-01,78759,Irrigation - Residential,118000
1858,2012-12-01,78759,Multi-Family,32377700
1859,2012-12-01,78759,Residential,73408100
1860,2012-12-01,78759,Irrigation - Multi-Family,990600
1861,2013-01-01,78613,Irrigation - Multi-Family,15000
1862,2013-01-01,78613,Multi-Family,20000
1863,2013-01-01,78617,Irrigation - Residential,200
1864,2013-01-01,78617,Multi-Family,2404200
1865,2013-01-01,78617,Residential,22013100
1866,2013-01-01,78652,Irrigation - Residential,48200
1867,2013-01-01,78652,Residential,719000
1868,2013-01-01,78652,Multi-Family,21700
1869,2013-01-01,78653,Multi-Family,263100
1870,2013-01-01,78653,Residential,2277400
1871,2013-01-01,78660,Multi-Family,3814000
1872,2013-01-01,78660,Irrigation - Residential,8600
1873,2013-01-01,78660,Residential,8117600
1874,2013-01-01,78701,Residential,1675000
1875,2013-01-01,78701,Multi-Family,11848700
1876,2013-01-01,78701,Irrigation - Multi-Family,275100
1877,2013-01-01,78702,Irrigation - Multi-Family,742700
1878,2013-01-01,78702,Multi-Family,10217600
1879,2013-01-01,78702,Irrigation - Residential,7200
1880,2013-01-01,78702,Residential,28370700
1881,2013-01-01,78703,Multi-Family,13589200
1882,2013-01-01,78703,Residential,54436900
1883,2013-01-01,78703,Irrigation - Multi-Family,398200
1884,2013-01-01,78703,Irrigation - Residential,1144900
1885,2013-01-01,78704,Irrigation - Residential,208200
1886,2013-01-01,78704,Residential,47190600
1887,2013-01-01,78704,Multi-Family,47498600
1888,2013-01-01,78704,Irrigation - Multi-Family,1005400
1889,2013-01-01,78705,Residential,9876800
1890,2013-01-01,78705,Irrigation - Residential,66000
1891,2013-01-01,78705,Multi-Family,25890700
1892,2013-01-01,78705,Irrigation - Multi-Family,227500
1893,2013-01-01,78717,Irrigation - Residential,19100
1894,2013-01-01,78717,Residential,26958300
1895,2013-01-01,78717,Multi-Family,7803900
1896,2013-01-01,78717,Irrigation - Multi-Family,2794700
1897,2013-01-01,78719,Residential,1620700
1898,2013-01-01,78719,Multi-Family,536200
1899,2013-01-01,78721,Irrigation - Multi-Family,0
1900,2013-01-01,78721,Irrigation - Residential,3500
1901,2013-01-01,78721,Residential,16151700
1902,2013-01-01,78721,Multi-Family,4352700
1903,2013-01-01,78722,Multi-Family,2743400
1904,2013-01-01,78722,Irrigation - Multi-Family,111200
1905,2013-01-01,78722,Residential,8911200
1906,2013-01-01,78723,Residential,35467600
1907,2013-01-01,78723,Irrigation - Multi-Family,272700
1908,2013-01-01,78723,Multi-Family,23277100
1909,2013-01-01,78724,Multi-Family,13858400
1910,2013-01-01,78724,Irrigation - Multi-Family,670400
1911,2013-01-01,78724,Irrigation - Residential,10300
1912,2013-01-01,78724,Residential,21810600
1913,2013-01-01,78725,Multi-Family,187800
1914,2013-01-01,78725,Residential,2307900
1915,2013-01-01,78726,Irrigation - Multi-Family,3667400
1916,2013-01-01,78726,Irrigation - Residential,3600
1917,2013-01-01,78726,Multi-Family,13980200
1918,2013-01-01,78726,Residential,16968400
1919,2013-01-01,78727,Irrigation - Residential,800
1920,2013-01-01,78727,Irrigation - Multi-Family,2425600
1921,2013-01-01,78727,Multi-Family,22277900
1922,2013-01-01,78727,Residential,39037300
1923,2013-01-01,78728,Multi-Family,7819700
1924,2013-01-01,78728,Irrigation - Multi-Family,539800
1925,2013-01-01,78728,Residential,4036100
1926,2013-01-01,78729,Multi-Family,24219600
1927,2013-01-01,78729,Irrigation - Multi-Family,2237500
1928,2013-01-01,78729,Irrigation - Residential,12600
1929,2013-01-01,78729,Residential,22484300
1930,2013-01-01,78730,Multi-Family,5152200
1931,2013-01-01,78730,Irrigation - Multi-Family,1162800
1932,2013-01-01,78730,Irrigation - Residential,207700
1933,2013-01-01,78730,Residential,13538000
1934,2013-01-01,78731,Irrigation - Multi-Family,462000
1935,2013-01-01,78731,Multi-Family,21117500
1936,2013-01-01,78731,Residential,62667000
1937,2013-01-01,78731,Irrigation - Residential,241000
1938,2013-01-01,78732,Residential,15900
1939,2013-01-01,78733,Residential,27000
1940,2013-01-01,78735,Irrigation - Multi-Family,1786400
1941,2013-01-01,78735,Multi-Family,10784100
1942,2013-01-01,78735,Residential,19146300
1943,2013-01-01,78736,Residential,12233300
1944,2013-01-01,78736,Irrigation - Multi-Family,556100
1945,2013-01-01,78736,Irrigation - Residential,5200
1946,2013-01-01,78736,Multi-Family,2358300
1947,2013-01-01,78737,Residential,6100500
1948,2013-01-01,78737,Irrigation - Residential,6300
1949,2013-01-01,78738,Residential,9300
1950,2013-01-01,78739,Residential,40720600
1951,2013-01-01,78741,Irrigation - Residential,6700
1952,2013-01-01,78741,Residential,19458100
1953,2013-01-01,78741,Multi-Family,85523800
1954,2013-01-01,78741,Irrigation - Multi-Family,2132400
1955,2013-01-01,78742,Residential,588900
1956,2013-01-01,78742,Multi-Family,904500
1957,2013-01-01,78744,Irrigation - Residential,1400
1958,2013-01-01,78744,Residential,52425400
1959,2013-01-01,78744,Multi-Family,30903100
1960,2013-01-01,78744,Irrigation - Multi-Family,1059100
1961,2013-01-01,78745,Irrigation - Multi-Family,1365600
1962,2013-01-01,78745,Multi-Family,33159400
1963,2013-01-01,78745,Irrigation - Residential,32400
1964,2013-01-01,78745,Residential,77058100
1965,2013-01-01,78746,Multi-Family,12748700
1966,2013-01-01,78746,Irrigation - Residential,250000
1967,2013-01-01,78746,Residential,30745800
1968,2013-01-01,78746,Irrigation - Multi-Family,673700
1969,2013-01-01,78747,Multi-Family,7762600
1970,2013-01-01,78747,Residential,23640900
1971,2013-01-01,78747,Irrigation - Multi-Family,332800
1972,2013-01-01,78747,Irrigation - Residential,69200
1973,2013-01-01,78748,Residential,66847300
1974,2013-01-01,78748,Irrigation - Multi-Family,5408700
1975,2013-01-01,78748,Irrigation - Residential,13300
1976,2013-01-01,78748,Multi-Family,16746900
1977,2013-01-01,78749,Irrigation - Multi-Family,3762900
1978,2013-01-01,78749,Irrigation - Residential,11200
1979,2013-01-01,78749,Multi-Family,18412600
1980,2013-01-01,78749,Residential,59944300
1981,2013-01-01,78750,Irrigation - Residential,2000
1982,2013-01-01,78750,Residential,51039400
1983,2013-01-01,78750,Irrigation - Multi-Family,846400
1984,2013-01-01,78750,Multi-Family,14998800
1985,2013-01-01,78751,Multi-Family,11989100
1986,2013-01-01,78751,Irrigation - Residential,68500
1987,2013-01-01,78751,Residential,16757100
1988,2013-01-01,78751,Irrigation - Multi-Family,249400
1989,2013-01-01,78752,Irrigation - Multi-Family,38400
1990,2013-01-01,78752,Multi-Family,20296900
1991,2013-01-01,78752,Residential,13563900
1992,2013-01-01,78753,Irrigation - Multi-Family,3312400
1993,2013-01-01,78753,Multi-Family,50058500
1994,2013-01-01,78753,Irrigation - Residential,4100
1995,2013-01-01,78753,Residential,43263900
1996,2013-01-01,78754,Irrigation - Residential,0
1997,2013-01-01,78754,Irrigation - Multi-Family,1327200
1998,2013-01-01,78754,Multi-Family,16072700
1999,2013-01-01,78754,Residential,20647000
2000,2013-01-01,78756,Irrigation - Residential,40900
2001,2013-01-01,78756,Residential,11881800
2002,2013-01-01,78756,Irrigation - Multi-Family,79600
2003,2013-01-01,78756,Multi-Family,7253900
2004,2013-01-01,78757,Irrigation - Residential,47500
2005,2013-01-01,78757,Irrigation - Multi-Family,156100
2006,2013-01-01,78757,Multi-Family,16069400
2007,2013-01-01,78757,Residential,34287300
2008,2013-01-01,78758,Multi-Family,54465100
2009,2013-01-01,78758,Irrigation - Residential,37200
2010,2013-01-01,78758,Residential,43383500
2011,2013-01-01,78758,Irrigation - Multi-Family,2212800
2012,2013-01-01,78759,Multi-Family,34329800
2013,2013-01-01,78759,Irrigation - Residential,87800
2014,2013-01-01,78759,Residential,63354100
2015,2013-01-01,78759,Irrigation - Multi-Family,766300
2016,2013-02-01,78613,Irrigation - Multi-Family,42000
2017,2013-02-01,78613,Multi-Family,17000
2018,2013-02-01,78617,Multi-Family,2697200
2019,2013-02-01,78617,Residential,17860600
2020,2013-02-01,78617,Irrigation - Residential,0
2021,2013-02-01,78652,Multi-Family,20200
2022,2013-02-01,78652,Residential,623900
2023,2013-02-01,78652,Irrigation - Residential,54500
2024,2013-02-01,78653,Residential,1746100
2025,2013-02-01,78653,Multi-Family,131300
2026,2013-02-01,78660,Irrigation - Residential,8300
2027,2013-02-01,78660,Residential,6610100
2028,2013-02-01,78660,Multi-Family,3012400
2029,2013-02-01,78701,Irrigation - Multi-Family,197500
2030,2013-02-01,78701,Multi-Family,11509900
2031,2013-02-01,78701,Residential,1013900
2032,2013-02-01,78702,Irrigation - Multi-Family,537100
2033,2013-02-01,78702,Residential,24284400
2034,2013-02-01,78702,Multi-Family,8907100
2035,2013-02-01,78702,Irrigation - Residential,46800
2036,2013-02-01,78703,Residential,43588700
2037,2013-02-01,78703,Irrigation - Residential,852600
2038,2013-02-01,78703,Multi-Family,12954100
2039,2013-02-01,78703,Irrigation - Multi-Family,403700
2040,2013-02-01,78704,Irrigation - Residential,105700
2041,2013-02-01,78704,Multi-Family,45135200
2042,2013-02-01,78704,Irrigation - Multi-Family,972800
2043,2013-02-01,78704,Residential,39592600
2044,2013-02-01,78705,Residential,8818400
2045,2013-02-01,78705,Irrigation - Residential,55800
2046,2013-02-01,78705,Irrigation - Multi-Family,227400
2047,2013-02-01,78705,Multi-Family,31743400
2048,2013-02-01,78717,Multi-Family,7016200
2049,2013-02-01,78717,Residential,21551600
2050,2013-02-01,78717,Irrigation - Residential,14600
2051,2013-02-01,78717,Irrigation - Multi-Family,1708900
2052,2013-02-01,78719,Multi-Family,463900
2053,2013-02-01,78719,Residential,1440900
2054,2013-02-01,78721,Irrigation - Multi-Family,0
2055,2013-02-01,78721,Multi-Family,4103100
2056,2013-02-01,78721,Irrigation - Residential,2900
2057,2013-02-01,78721,Residential,12997600
2058,2013-02-01,78722,Irrigation - Multi-Family,80900
2059,2013-02-01,78722,Multi-Family,2557700
2060,2013-02-01,78722,Residential,8040700
2061,2013-02-01,78723,Multi-Family,20400000
2062,2013-02-01,78723,Irrigation - Multi-Family,213200
2063,2013-02-01,78723,Residential,30535400
2064,2013-02-01,78724,Multi-Family,11670700
2065,2013-02-01,78724,Irrigation - Residential,7900
2066,2013-02-01,78724,Residential,17715100
2067,2013-02-01,78724,Irrigation - Multi-Family,128700
2068,2013-02-01,78725,Residential,1996000
2069,2013-02-01,78725,Multi-Family,323100
2070,2013-02-01,78726,Irrigation - Multi-Family,2853500
2071,2013-02-01,78726,Irrigation - Residential,2000
2072,2013-02-01,78726,Multi-Family,10302200
2073,2013-02-01,78726,Residential,12678700
2074,2013-02-01,78727,Irrigation - Residential,1800
2075,2013-02-01,78727,Irrigation - Multi-Family,2746300
2076,2013-02-01,78727,Residential,31663000
2077,2013-02-01,78727,Multi-Family,17905900
2078,2013-02-01,78728,Irrigation - Multi-Family,562300
2079,2013-02-01,78728,Multi-Family,6661500
2080,2013-02-01,78728,Residential,3621000
2081,2013-02-01,78729,Residential,19134400
2082,2013-02-01,78729,Irrigation - Residential,10800
2083,2013-02-01,78729,Multi-Family,21945700
2084,2013-02-01,78729,Irrigation - Multi-Family,2055700
2085,2013-02-01,78730,Irrigation - Multi-Family,889000
2086,2013-02-01,78730,Irrigation - Residential,76700
2087,2013-02-01,78730,Multi-Family,4393800
2088,2013-02-01,78730,Residential,8912900
2089,2013-02-01,78731,Residential,50319700
2090,2013-02-01,78731,Irrigation - Multi-Family,550900
2091,2013-02-01,78731,Multi-Family,17505100
2092,2013-02-01,78731,Irrigation - Residential,281700
2093,2013-02-01,78732,Residential,4300
2094,2013-02-01,78733,Residential,22100
2095,2013-02-01,78735,Multi-Family,9684800
2096,2013-02-01,78735,Residential,16089100
2097,2013-02-01,78735,Irrigation - Multi-Family,1336300
2098,2013-02-01,78736,Irrigation - Multi-Family,340200
2099,2013-02-01,78736,Multi-Family,2042900
2100,2013-02-01,78736,Irrigation - Residential,4000
2101,2013-02-01,78736,Residential,10137300
2102,2013-02-01,78737,Irrigation - Residential,2900
2103,2013-02-01,78737,Residential,4838800
2104,2013-02-01,78738,Residential,6900
2105,2013-02-01,78739,Residential,33156900
2106,2013-02-01,78741,Multi-Family,79067600
2107,2013-02-01,78741,Residential,16583100
2108,2013-02-01,78741,Irrigation - Residential,6800
2109,2013-02-01,78741,Irrigation - Multi-Family,1567800
2110,2013-02-01,78742,Residential,491100
2111,2013-02-01,78742,Multi-Family,779700
2112,2013-02-01,78744,Irrigation - Multi-Family,1099300
2113,2013-02-01,78744,Irrigation - Residential,1400
2114,2013-02-01,78744,Multi-Family,23364800
2115,2013-02-01,78744,Residential,46250300
2116,2013-02-01,78745,Irrigation - Multi-Family,1572500
2117,2013-02-01,78745,Residential,66653700
2118,2013-02-01,78745,Irrigation - Residential,21100
2119,2013-02-01,78745,Multi-Family,28527600
2120,2013-02-01,78746,Irrigation - Multi-Family,430700
2121,2013-02-01,78746,Irrigation - Residential,235100
2122,2013-02-01,78746,Multi-Family,11217700
2123,2013-02-01,78746,Residential,23831900
2124,2013-02-01,78747,Residential,19795200
2125,2013-02-01,78747,Irrigation - Residential,59000
2126,2013-02-01,78747,Multi-Family,6529600
2127,2013-02-01,78747,Irrigation - Multi-Family,364800
2128,2013-02-01,78748,Multi-Family,15590500
2129,2013-02-01,78748,Irrigation - Residential,13300
2130,2013-02-01,78748,Irrigation - Multi-Family,5335100
2131,2013-02-01,78748,Residential,57477600
2132,2013-02-01,78749,Irrigation - Multi-Family,3130400
2133,2013-02-01,78749,Multi-Family,15373700
2134,2013-02-01,78749,Residential,51913600
2135,2013-02-01,78749,Irrigation - Residential,5800
2136,2013-02-01,78750,Irrigation - Residential,0
2137,2013-02-01,78750,Residential,41081400
2138,2013-02-01,78750,Multi-Family,13388100
2139,2013-02-01,78750,Irrigation - Multi-Family,999200
2140,2013-02-01,78751,Irrigation - Residential,27700
2141,2013-02-01,78751,Irrigation - Multi-Family,230200
2142,2013-02-01,78751,Multi-Family,12229200
2143,2013-02-01,78751,Residential,14984700
2144,2013-02-01,78752,Irrigation - Multi-Family,8700
2145,2013-02-01,78752,Residential,11823500
2146,2013-02-01,78752,Multi-Family,16389600
2147,2013-02-01,78753,Irrigation - Residential,1800
2148,2013-02-01,78753,Irrigation - Multi-Family,2976700
2149,2013-02-01,78753,Residential,35929600
2150,2013-02-01,78753,Multi-Family,41205000
2151,2013-02-01,78754,Multi-Family,14190800
2152,2013-02-01,78754,Irrigation - Multi-Family,1367700
2153,2013-02-01,78754,Irrigation - Residential,0
2154,2013-02-01,78754,Residential,16399700
2155,2013-02-01,78756,Residential,9957100
2156,2013-02-01,78756,Multi-Family,6265000
2157,2013-02-01,78756,Irrigation - Residential,49400
2158,2013-02-01,78756,Irrigation - Multi-Family,88300
2159,2013-02-01,78757,Residential,28769200
2160,2013-02-01,78757,Multi-Family,14309600
2161,2013-02-01,78757,Irrigation - Multi-Family,156800
2162,2013-02-01,78757,Irrigation - Residential,40100
2163,2013-02-01,78758,Irrigation - Multi-Family,1733400
2164,2013-02-01,78758,Irrigation - Residential,7100
2165,2013-02-01,78758,Residential,36544300
2166,2013-02-01,78758,Multi-Family,45736900
2167,2013-02-01,78759,Irrigation - Residential,40900
2168,2013-02-01,78759,Multi-Family,29621600
2169,2013-02-01,78759,Irrigation - Multi-Family,679300
2170,2013-02-01,78759,Residential,49430300
2171,2013-03-01,78613,Irrigation - Multi-Family,47000
2172,2013-03-01,78613,Multi-Family,21000
2173,2013-03-01,78617,Multi-Family,2319700
2174,2013-03-01,78617,Irrigation - Residential,700
2175,2013-03-01,78617,Residential,17964500
2176,2013-03-01,78652,Irrigation - Residential,55200
2177,2013-03-01,78652,Residential,642500
2178,2013-03-01,78652,Multi-Family,17700
2179,2013-03-01,78653,Residential,1916200
2180,2013-03-01,78653,Multi-Family,133700
2181,2013-03-01,78660,Residential,6915600
2182,2013-03-01,78660,Irrigation - Residential,9100
2183,2013-03-01,78660,Multi-Family,3052000
2184,2013-03-01,78701,Irrigation - Multi-Family,203900
2185,2013-03-01,78701,Multi-Family,12506000
2186,2013-03-01,78701,Residential,1217500
2187,2013-03-01,78702,Residential,26381000
2188,2013-03-01,78702,Multi-Family,8922500
2189,2013-03-01,78702,Irrigation - Multi-Family,757900
2190,2013-03-01,78702,Irrigation - Residential,26500
2191,2013-03-01,78703,Irrigation - Multi-Family,491800
2192,2013-03-01,78703,Residential,51836200
2193,2013-03-01,78703,Irrigation - Residential,1388200
2194,2013-03-01,78703,Multi-Family,13081000
2195,2013-03-01,78704,Residential,44101100
2196,2013-03-01,78704,Multi-Family,44297100
2197,2013-03-01,78704,Irrigation - Residential,175400
2198,2013-03-01,78704,Irrigation - Multi-Family,1418300
2199,2013-03-01,78705,Residential,9629900
2200,2013-03-01,78705,Irrigation - Residential,68300
2201,2013-03-01,78705,Irrigation - Multi-Family,380800
2202,2013-03-01,78705,Multi-Family,31974600
2203,2013-03-01,78717,Irrigation - Multi-Family,2216000
2204,2013-03-01,78717,Irrigation - Residential,25300
2205,2013-03-01,78717,Multi-Family,7146900
2206,2013-03-01,78717,Residential,27223200
2207,2013-03-01,78719,Multi-Family,498400
2208,2013-03-01,78719,Residential,1422400
2209,2013-03-01,78721,Irrigation - Residential,6500
2210,2013-03-01,78721,Irrigation - Multi-Family,0
2211,2013-03-01,78721,Multi-Family,4356800
2212,2013-03-01,78721,Residential,14251900
2213,2013-03-01,78722,Irrigation - Multi-Family,42000
2214,2013-03-01,78722,Multi-Family,2629100
2215,2013-03-01,78722,Residential,8441600
2216,2013-03-01,78723,Multi-Family,20337900
2217,2013-03-01,78723,Residential,32200000
2218,2013-03-01,78723,Irrigation - Multi-Family,248700
2219,2013-03-01,78724,Residential,19127000
2220,2013-03-01,78724,Irrigation - Multi-Family,128300
2221,2013-03-01,78724,Multi-Family,11816900
2222,2013-03-01,78724,Irrigation - Residential,9500
2223,2013-03-01,78725,Residential,2173200
2224,2013-03-01,78725,Multi-Family,308500
2225,2013-03-01,78726,Irrigation - Residential,35600
2226,2013-03-01,78726,Residential,14890200
2227,2013-03-01,78726,Irrigation - Multi-Family,3007400
2228,2013-03-01,78726,Multi-Family,11215000
2229,2013-03-01,78727,Irrigation - Multi-Family,3283400
2230,2013-03-01,78727,Irrigation - Residential,1000
2231,2013-03-01,78727,Multi-Family,20963500
2232,2013-03-01,78727,Residential,35461700
2233,2013-03-01,78728,Multi-Family,6809600
2234,2013-03-01,78728,Irrigation - Multi-Family,455600
2235,2013-03-01,78728,Residential,4059100
2236,2013-03-01,78729,Irrigation - Residential,12000
2237,2013-03-01,78729,Multi-Family,20737700
2238,2013-03-01,78729,Irrigation - Multi-Family,1601400
2239,2013-03-01,78729,Residential,20173400
2240,2013-03-01,78730,Irrigation - Residential,138000
2241,2013-03-01,78730,Multi-Family,4464400
2242,2013-03-01,78730,Irrigation - Multi-Family,672800
2243,2013-03-01,78730,Residential,11852100
2244,2013-03-01,78731,Multi-Family,18499400
2245,2013-03-01,78731,Irrigation - Multi-Family,674200
2246,2013-03-01,78731,Residential,60445100
2247,2013-03-01,78731,Irrigation - Residential,396400
2248,2013-03-01,78732,Residential,4700
2249,2013-03-01,78733,Residential,31900
2250,2013-03-01,78735,Residential,18895300
2251,2013-03-01,78735,Irrigation - Multi-Family,1382800
2252,2013-03-01,78735,Multi-Family,9404400
2253,2013-03-01,78736,Irrigation - Multi-Family,247400
2254,2013-03-01,78736,Multi-Family,2005600
2255,2013-03-01,78736,Irrigation - Residential,2900
2256,2013-03-01,78736,Residential,11465300
2257,2013-03-01,78737,Residential,6129000
2258,2013-03-01,78737,Irrigation - Residential,3300
2259,2013-03-01,78738,Residential,8000
2260,2013-03-01,78739,Residential,35623400
2261,2013-03-01,78741,Irrigation - Residential,11600
2262,2013-03-01,78741,Irrigation - Multi-Family,1569200
2263,2013-03-01,78741,Multi-Family,75186300
2264,2013-03-01,78741,Residential,17095500
2265,2013-03-01,78742,Multi-Family,728600
2266,2013-03-01,78742,Residential,471600
2267,2013-03-01,78744,Irrigation - Residential,1100
2268,2013-03-01,78744,Multi-Family,24114600
2269,2013-03-01,78744,Residential,46412200
2270,2013-03-01,78744,Irrigation - Multi-Family,1179900
2271,2013-03-01,78745,Irrigation - Multi-Family,1482000
2272,2013-03-01,78745,Residential,70779600
2273,2013-03-01,78745,Irrigation - Residential,30100
2274,2013-03-01,78745,Multi-Family,29154700
2275,2013-03-01,78746,Irrigation - Multi-Family,700400
2276,2013-03-01,78746,Multi-Family,11638100
2277,2013-03-01,78746,Residential,31502500
2278,2013-03-01,78746,Irrigation - Residential,317700
2279,2013-03-01,78747,Irrigation - Residential,62800
2280,2013-03-01,78747,Residential,21188800
2281,2013-03-01,78747,Irrigation - Multi-Family,445100
2282,2013-03-01,78747,Multi-Family,6828000
2283,2013-03-01,78748,Irrigation - Residential,11300
2284,2013-03-01,78748,Residential,60398300
2285,2013-03-01,78748,Irrigation - Multi-Family,4227000
2286,2013-03-01,78748,Multi-Family,14892100
2287,2013-03-01,78749,Multi-Family,15529600
2288,2013-03-01,78749,Irrigation - Multi-Family,3091000
2289,2013-03-01,78749,Irrigation - Residential,19700
2290,2013-03-01,78749,Residential,60228700
2291,2013-03-01,78750,Irrigation - Multi-Family,1206700
2292,2013-03-01,78750,Irrigation - Residential,13700
2293,2013-03-01,78750,Multi-Family,13614200
2294,2013-03-01,78750,Residential,48898900
2295,2013-03-01,78751,Irrigation - Multi-Family,264300
2296,2013-03-01,78751,Residential,15631500
2297,2013-03-01,78751,Irrigation - Residential,54400
2298,2013-03-01,78751,Multi-Family,11988300
2299,2013-03-01,78752,Irrigation - Multi-Family,12000
2300,2013-03-01,78752,Residential,11977900
2301,2013-03-01,78752,Multi-Family,16485400
2302,2013-03-01,78753,Multi-Family,43557500
2303,2013-03-01,78753,Residential,39434100
2304,2013-03-01,78753,Irrigation - Residential,2400
2305,2013-03-01,78753,Irrigation - Multi-Family,3799000
2306,2013-03-01,78754,Irrigation - Residential,800
2307,2013-03-01,78754,Multi-Family,14815400
2308,2013-03-01,78754,Residential,18369800
2309,2013-03-01,78754,Irrigation - Multi-Family,1843000
2310,2013-03-01,78756,Irrigation - Residential,51900
2311,2013-03-01,78756,Multi-Family,6327100
2312,2013-03-01,78756,Residential,11147900
2313,2013-03-01,78756,Irrigation - Multi-Family,89500
2314,2013-03-01,78757,Irrigation - Multi-Family,105600
2315,2013-03-01,78757,Multi-Family,13554100
2316,2013-03-01,78757,Irrigation - Residential,45500
2317,2013-03-01,78757,Residential,32673200
2318,2013-03-01,78758,Residential,39331100
2319,2013-03-01,78758,Irrigation - Multi-Family,2286400
2320,2013-03-01,78758,Irrigation - Residential,5000
2321,2013-03-01,78758,Multi-Family,46797000
2322,2013-03-01,78759,Residential,59221400
2323,2013-03-01,78759,Multi-Family,31323600
2324,2013-03-01,78759,Irrigation - Multi-Family,770200
2325,2013-03-01,78759,Irrigation - Residential,79200
2326,2013-04-01,78613,Irrigation - Multi-Family,69000
2327,2013-04-01,78613,Multi-Family,23000
2328,2013-04-01,78617,Multi-Family,2358100
2329,2013-04-01,78617,Irrigation - Residential,3900
2330,2013-04-01,78617,Residential,18470300
2331,2013-04-01,78652,Multi-Family,23900
2332,2013-04-01,78652,Residential,710700
2333,2013-04-01,78652,Irrigation - Residential,56700
2334,2013-04-01,78653,Multi-Family,135700
2335,2013-04-01,78653,Residential,1984300
2336,2013-04-01,78660,Residential,7564900
2337,2013-04-01,78660,Irrigation - Residential,7900
2338,2013-04-01,78660,Multi-Family,3360700
2339,2013-04-01,78701,Irrigation - Multi-Family,167700
2340,2013-04-01,78701,Residential,1256800
2341,2013-04-01,78701,Multi-Family,12529100
2342,2013-04-01,78702,Irrigation - Multi-Family,556200
2343,2013-04-01,78702,Multi-Family,9278400
2344,2013-04-01,78702,Residential,26641500
2345,2013-04-01,78702,Irrigation - Residential,30300
2346,2013-04-01,78703,Multi-Family,13600500
2347,2013-04-01,78703,Irrigation - Residential,1399400
2348,2013-04-01,78703,Irrigation - Multi-Family,498400
2349,2013-04-01,78703,Residential,55484800
2350,2013-04-01,78704,Irrigation - Multi-Family,1589500
2351,2013-04-01,78704,Multi-Family,45181700
2352,2013-04-01,78704,Irrigation - Residential,239000
2353,2013-04-01,78704,Residential,46225000
2354,2013-04-01,78705,Multi-Family,30998800
2355,2013-04-01,78705,Residential,10258100
2356,2013-04-01,78705,Irrigation - Multi-Family,611400
2357,2013-04-01,78705,Irrigation - Residential,75500
2358,2013-04-01,78717,Multi-Family,7635800
2359,2013-04-01,78717,Residential,32248200
2360,2013-04-01,78717,Irrigation - Residential,28500
2361,2013-04-01,78717,Irrigation - Multi-Family,3383600
2362,2013-04-01,78719,Multi-Family,399700
2363,2013-04-01,78719,Residential,1535400
2364,2013-04-01,78721,Irrigation - Multi-Family,0
2365,2013-04-01,78721,Irrigation - Residential,7700
2366,2013-04-01,78721,Multi-Family,4569900
2367,2013-04-01,78721,Residential,15010600
2368,2013-04-01,78722,Residential,9247100
2369,2013-04-01,78722,Irrigation - Multi-Family,91400
2370,2013-04-01,78722,Multi-Family,2720200
2371,2013-04-01,78723,Multi-Family,21464500
2372,2013-04-01,78723,Irrigation - Multi-Family,330400
2373,2013-04-01,78723,Residential,35318700
2374,2013-04-01,78724,Multi-Family,12296500
2375,2013-04-01,78724,Irrigation - Multi-Family,220600
2376,2013-04-01,78724,Residential,19663600
2377,2013-04-01,78724,Irrigation - Residential,10900
2378,2013-04-01,78725,Multi-Family,222800
2379,2013-04-01,78725,Residential,2391200
2380,2013-04-01,78726,Irrigation - Multi-Family,4304400
2381,2013-04-01,78726,Irrigation - Residential,13700
2382,2013-04-01,78726,Residential,19230900
2383,2013-04-01,78726,Multi-Family,11645200
2384,2013-04-01,78727,Residential,38808000
2385,2013-04-01,78727,Multi-Family,19466000
2386,2013-04-01,78727,Irrigation - Multi-Family,4236400
2387,2013-04-01,78727,Irrigation - Residential,10600
2388,2013-04-01,78728,Residential,4229500
2389,2013-04-01,78728,Irrigation - Multi-Family,728100
2390,2013-04-01,78728,Multi-Family,7129200
2391,2013-04-01,78729,Irrigation - Multi-Family,2523100
2392,2013-04-01,78729,Residential,22874100
2393,2013-04-01,78729,Multi-Family,20948200
2394,2013-04-01,78729,Irrigation - Residential,14700
2395,2013-04-01,78730,Irrigation - Multi-Family,768900
2396,2013-04-01,78730,Irrigation - Residential,120400
2397,2013-04-01,78730,Residential,13564100
2398,2013-04-01,78730,Multi-Family,4460100
2399,2013-04-01,78731,Irrigation - Multi-Family,798100
2400,2013-04-01,78731,Residential,66971000
2401,2013-04-01,78731,Irrigation - Residential,414200
2402,2013-04-01,78731,Multi-Family,18724600
2403,2013-04-01,78732,Residential,5200
2404,2013-04-01,78733,Residential,48900
2405,2013-04-01,78735,Multi-Family,9985200
2406,2013-04-01,78735,Residential,23614800
2407,2013-04-01,78735,Irrigation - Multi-Family,2140000
2408,2013-04-01,78736,Residential,13633100
2409,2013-04-01,78736,Irrigation - Residential,9000
2410,2013-04-01,78736,Multi-Family,2283700
2411,2013-04-01,78736,Irrigation - Multi-Family,328900
2412,2013-04-01,78737,Irrigation - Residential,2800
2413,2013-04-01,78737,Residential,5999800
2414,2013-04-01,78738,Residential,7700
2415,2013-04-01,78739,Residential,44401100
2416,2013-04-01,78741,Irrigation - Multi-Family,3346400
2417,2013-04-01,78741,Residential,17988200
2418,2013-04-01,78741,Irrigation - Residential,9700
2419,2013-04-01,78741,Multi-Family,80847400
2420,2013-04-01,78742,Multi-Family,772400
2421,2013-04-01,78742,Residential,525000
2422,2013-04-01,78744,Irrigation - Residential,1200
